# Entity to Wikidata ID Mapping
# Format: original_entity_name	wikidata_id	label	description	similarity_score

Mosaic's success	NO_MATCH	N/A	N/A	0.000
Moss Hart	Q728876	Moss Hart	American playwright, librettist, and theatre director (1904-1961)	1.000
Mount Wilson Observatory	Q466863	Mount Wilson Observatory	astronomical observatory in Los Angeles County, California	1.000
Mountaineering	Q36908	mountaineering	sport of mountain climbing	1.000
Mr. Fantastic	Q865017	Mister Fantastic	fictional character in Marvel Comics	1.000
Muhammad Ali	Q36107	Muhammad Ali	American boxer (1942–2016)	1.000
Murad IV	Q174762	Murad IV	the 17th Sultan of the Ottoman Empire (1623–1640)	1.000
Muscicapidae	Q200989	Muscicapidae	family of birds	1.000
Muslim	Q2781527	Muslim	male given name	1.000
Muslims	Q47740	Muslim	adherent of the religion of Islam	1.000
NASA	Q309751	Nasa	genus of plants	1.000
NATO	Q7184	NATO	intergovernmental military alliance between 32 member states	1.000
NCAA's Division I	NO_MATCH	N/A	N/A	0.000
NFL players Josh Norman	NO_MATCH	N/A	N/A	0.000
NFL players Justin Bethel	NO_MATCH	N/A	N/A	0.000
NH3	Q61596126	NH3		1.000
NL champion	NO_MATCH	N/A	N/A	0.000
NLP	Q62199688	NLP	protein-coding gene found in Trypanosoma cruzi	1.000
Nabateans	NO_MATCH	N/A	N/A	0.000
National Geographic magazine	Q5973845	National Geographic	monthly geography, history, nature, and science magazine	1.000
National Hockey League	Q1215892	National Hockey League	North American professional ice hockey league	1.000
National League	Q858082	National League	baseball league, part of Major League Baseball	1.000
National Register of Historic Places	Q3719	National Register of Historic Places	federal list of historic sites in the United States	1.000
Nationalists	Q2742116	Nationalist faction	major faction in the Spanish Civil War of 1936 to 1939	1.000
Native American allies	NO_MATCH	N/A	N/A	0.000
Native American tribe	Q12885585	Native American tribe	group or community of indigenous peoples in the United States	1.000
Native American tribes	Q135676972	Native American tribes	indigenous tribes that currently live or historically lived in the United States of America	1.000
Native American, English, French, and African languages	NO_MATCH	N/A	N/A	0.000
Natural language	Q33742	natural language	language naturally spoken by humans, as opposed to "constructed" and "formal" languages	1.000
Natural language processing	Q30642	natural language processing	field of computer science and linguistics	1.000
Naughty Marietta	Q6981145	Naughty Marietta	comic opera in two acts by Victor Herbert	1.000
Nazi Germany	Q7318	Nazi Germany	Germany from 1933 to 1945 while under control of the Nazi Party	1.000
Nelson Eddy	Q562641	Nelson Eddy	American actor, operatic baritone (1901–1967)	1.000
Nematocysts	Q56172965	NEMATOCYSTS OF MICROSTOMA	scientific article published in 1924	0.649
Neoptolemus I	Q13230617	Neoptolemus I of Epirus	king of Epirus from 370 BC to 357 BC	0.796
Nikolai Gerasimovich Kuznetsov	Q342462	Nikolay Gerasimovich Kuznetsov	Soviet admiral (1904–1974)	1.000
Niš, Serbia	Q25465476	Niš, Serbia Army Club		0.688
Non-repudiation	Q1327773	non-repudiation	proof of a message sender's identity, e.g. cryptographically	1.000
Norma Shearer	Q95019	Norma Shearer	Canadian-American actress (1902-1983)	1.000
North America	Q49	North America	continent	1.000
North East England	Q47983	North East England	region of England	1.000
North Macedonia	Q221	North Macedonia	country in southeastern Europe	1.000
Northern Court's ascendancy	NO_MATCH	N/A	N/A	0.000
Northern Hemisphere	Q39061	Northern Hemisphere	part of Earth that lies north of the equator	1.000
Northern Ireland	Q26	Northern Ireland	part of the United Kingdom situated on the island of Ireland	1.000
Northern Ireland to become part of a united Ireland	NO_MATCH	N/A	N/A	0.000
Northern Ireland to remain part of the United Kingdom	NO_MATCH	N/A	N/A	0.000
Northumberland	Q67535553	Northumberland	historic county of England, United Kingdom	1.000
Norwegian	Q9043	Norwegian	North Germanic language spoken in Norway	1.000
November 1940	Q3345414	November 1940	month of 1940	1.000
Nymphenburg Palace	Q131631	Nymphenburg Palace	Baroque palace in Munich, Bavaria, southern Germany	1.000
Númenor	Q211686	Númenor	fictional country in Arda	1.000
Númenórean survivors	NO_MATCH	N/A	N/A	0.000
Númenóreans	Q4327996	Númenóreans	fictional people from J.R.R. Tolkien's legendarium	1.000
Object Management Group	Q252733	Object Management Group	technology standards consortium	1.000
Objective of Peg solitaire	NO_MATCH	N/A	N/A	0.000
October 25th	Q2954	October 25	day of the year	1.000
Oedipus	Q130890	Oedipus	mythical Greek king of Thebes	1.000
Office productivity suite	NO_MATCH	N/A	N/A	0.000
Oklahoma	Q1649	Oklahoma	state of the United States of America	1.000
Osburh	Q78039618	Osburh	female given name	1.000
Ossian	Q16280446	Ossian	male given name	1.000
Ossian to be a literary creation	NO_MATCH	N/A	N/A	0.000
Ossian was a real historical figure	NO_MATCH	N/A	N/A	0.000
Other intercalation methods	NO_MATCH	N/A	N/A	0.000
Ottoman Empire's territory	NO_MATCH	N/A	N/A	0.000
Ottomans	Q2359535	Ottoman Turks	Turkic ethnic group who founded the Ottoman Empire	1.000
Padstow	Q943931	Padstow	town and civil parish in Cornwall, England, UK	1.000
Palau	Q695	Palau	island sovereign state in Oceania	1.000
Palauan descent	NO_MATCH	N/A	N/A	0.000
Paleolithic era	Q40203	Paleolithic	prehistoric period, first part of the Stone Age	1.000
Palestinian-Israeli conflict	Q151622	Israeli–Palestinian conflict	ongoing military and political conflict in the Levant	1.000
Palestinians	Q201190	Palestinians	Ethnic group native to the Palestine region in Southwest Asia	1.000
Palma Cathedral	Q1298819	Palma Cathedral	cathedral and minor basilica in Spain	1.000
Palma de Mallorca	Q8826	Palma	city in Mallorca and capital of the Balearic Islands, Spain	1.000
Parkland Region of Manitoba, Canada	NO_MATCH	N/A	N/A	0.000
Partial pressure	Q27165	partial pressure	hypothetical pressure of gas if it alone occupied the volume of the mixture at the same temperature	1.000
Partial pressure of a gas	NO_MATCH	N/A	N/A	0.000
Patrick Michael Grundy	Q3897737	Patrick Grundy	British mathematician	1.000
Paul Allen	Q162005	Paul Allen	American businessman and philanthropist, co-founder of Microsoft (1953–2018)	1.000
Paul Newman as Eddie Felson	NO_MATCH	N/A	N/A	0.000
Peenemünde Army Research Center	Q897509	Peenemünde Army Research Center	World War II weapons research center	1.000
Peg solitaire	Q135451985	Peg Solitaire	2021 video game developed by Terrestrial Games LLC	1.000
Pelagius of Asturias	Q14655	Pelagius	first king of Asturias	1.000
Pennsylvania	Q1400	Pennsylvania	state of the United States of America	1.000
Peperomia	Q1354632	Peperomia	genus of plants	1.000
Peperomia plants	NO_MATCH	N/A	N/A	0.000
Perennialists	NO_MATCH	N/A	N/A	0.000
Personal mobility	Q7170607	Personal mobility		1.000
Personal mobility options	NO_MATCH	N/A	N/A	0.000
Peru	Q419	Peru	sovereign state in South America	1.000
Peter I	Q8479	Peter the Great	Tsar/Emperor of Russia from 1682 to 1725	1.000
Peter Landin	Q92952	Peter Landin	British computer scientist (1930–2009)	1.000
Peter the Great	Q8479	Peter the Great	Tsar/Emperor of Russia from 1682 to 1725	1.000
Phoenicians	Q1048468	Phoenicians	historical Canaanite people who sat on the Levant coast, and spread across the Mediterranean and beyond	1.000
Photios I	Q408644	Photios	Wikimedia disambiguation page	1.000
Photosynthesis	Q11982	photosynthesis	biological process to convert light into chemical energy	1.000
Picture Archiving and Communication System	Q1061052	picture archiving and communication system	medical imaging technology	1.000
Piegan Blackfeet	Q2673132	Piegan Blackfeet	Native American tribe	1.000
Pierre Alphonse Laurent	Q166396	Pierre Alphonse Laurent	French mathematician (1813–1854)	1.000
Pierre-Auguste Renoir	Q39931	Pierre-Auguste Renoir	French painter and sculptor (1841–1919)	1.000
Pikuni	Q130236688	Piikani people	indigenous ethnic group in North America	1.000
Pinocchio	Q18279909	Pinocchio	Shrek character	1.000
Pioneer missions	NO_MATCH	N/A	N/A	0.000
Pioneer program	Q190108	Pioneer program	series of United States uncrewed space missions	1.000
Piperidine	Q59348943	piperidine	any heterocyclic compound having a six-membered, saturated ring with one nitrogen heteroatom	1.000
Plants	Q756	plant	living thing in the kingdom of photosynthetic eukaryotes	1.000
Plato's Parmenides	Q59735887	Plato's Parmenides. I		0.923
Pleistocene epoch	Q25546	Pleistocene	first epoch of the Quaternary Period	1.000
Plesiochronous digital hierarchy	Q51832	Plesiochronous digital hierarchy	technology used in telecommunications networks	1.000
Podkayne Fries	NO_MATCH	N/A	N/A	0.000
Podkayne of Mars	Q3393084	Podkayne of Mars	novel by Robert A. Heinlein	1.000
Poincaré conjecture	Q203586	Poincaré conjecture	theorem in geometric topology that every simply connected, closed 3-manifold is homeomorphic to the 3-sphere	1.000
Polish forces	Q7209909	Polish Forces War Memorial:National Memorial Arboretum	War memorial in Staffordshire, England	0.482
Pope Alexander III	Q160116	Alexander III	pope of the Catholic Church from 1159 to 1181	1.000
Pope Benedict VII	Q179697	Benedict VII	pope	1.000
Pope Boniface V	Q170299	Boniface V	pope	1.000
Pope Callixtus II	Q170654	Callixtus II	Pope from 1119 to 1124	1.000
Pope Formosus	Q170499	Formosus	pope	1.000
Pope Gregory XV	Q132692	Gregory XV	pope of the Catholic Church from 1621 to 1623 (1554–1623)	1.000
Pope John XIV	Q227972	John XIV	pope	1.000
Pope Stephen VI	Q245030	Stephen V	pope	1.000
Port of Djibouti	Q7231129	Port of Djibouti	Port in Djibouti	1.000
Poseidon	Q41127	Poseidon	God of the seas in Greek mythology	1.000
President	Q30461	president	leader of a country or part of a country, usually in republics	1.000
President of France	Q191954	President of the French Republic	head of state of France	1.000
Principia Mathematica	Q163335	Principia Mathematica	book on the foundations of mathematics	1.000
Proclus	Q271809	Proclus	5th-century Greek Neoplatonist philosopher	1.000
Progressive Era	Q2635158	Progressive Era	era in the history of the USA between 1890's and 1920's	1.000
Ptolemy Philadelphus	Q39576	Ptolemy II Philadelphus	king of the Ptolemaic dynasty in Egypt (308-246 B.C.)	1.000
Puerto Rican	Q893594	Puerto Ricans	people from Puerto Rico or who identify as Puerto Rican	1.000
Pyramids of Giza	Q12508	Giza pyramid complex	archaeological site on the Giza Plateau, Egypt	1.000
Quebec City	Q2145	Quebec City	capital city of the province of Quebec, Canada	1.000
Quechua people	Q134936	Quechua people	ethnic group indigenous to South America	1.000
Quechuan languages	Q5218	Quechua	language family spoken primarily in the Andes region of South America	1.000
Racing Club de Ferrol	Q843396	Racing Club de Ferrol	association football team in Spain	1.000
Redmond, Washington	Q223718	Redmond	city in King County, Washington, United States of America	1.000
Renaissance era	Q201405	Renaissance music	musical period between the 15th and 17th centuries	1.000
Renoir's style	NO_MATCH	N/A	N/A	0.000
Renoir's work	NO_MATCH	N/A	N/A	0.000
Request for Comments	Q212971	Request for Comments	publication of the development and standards for the Internet	1.000
Rhea	Q19171	Rhea	genus of birds, ratites	1.000
Ricci flow	Q1361396	Ricci flow	flow associated to the partial differential equation ∂𝑔/∂𝑡=−2Ric[𝑔] on a Riemannian manifold	1.000
Richard III at the Battle of Bosworth Field	NO_MATCH	N/A	N/A	0.000
Richard Sprague	Q7329189	Richard Sprague	American writer (1921–1996)	1.000
Richard in 1191	NO_MATCH	N/A	N/A	0.000
Richard, Duke of Gloucester, to be the rightful king of England	NO_MATCH	N/A	N/A	0.000
Rights	Q780687	rights	fundamental legal, social, or ethical principles of freedom or entitlement according to some legal system, social convention, or ethical theory	1.000
Robert Bylot	Q654591	Robert Bylot	British explorer	1.000
Robert Jordan	Q166351	Robert Jordan	American fantasy writer (1948–2007)	1.000
Robert Musil	Q89912817	Robert Musil	1862-1941	1.000
Roman Empire and the Goths	NO_MATCH	N/A	N/A	0.000
Roman Empire's control over the Balkans	NO_MATCH	N/A	N/A	0.000
Roman army	Q1114493	Roman army	terrestrial forces of Roman governments	1.000
Roman history	Q1155892	History of Rome	Livy's history of ancient Rome	1.000
Romance language	Q19814	Romance languages	group of Indo-European languages, direct descendants of Vulgar Latin	1.000
Romania	Q218	Romania	country in Southeast Europe	1.000
Romans	Q613120	Romans	commune in Ain, France	1.000
Rome by Octavian	NO_MATCH	N/A	N/A	0.000
Rupert Brooke	Q366086	Rupert Brooke	English poet (1887–1915)	1.000
Rupert Brooke's poetry	NO_MATCH	N/A	N/A	0.000
Rush	Q203871	Rush	Canadian rock band	1.000
Ruslan Imranovich Khasbulatov	Q537251	Ruslan Khasbulatov	Russian politician (1942–2023)	1.000
Russian	Q7737	Russian	East Slavic language	1.000
Russian force	Q111025871	Russian forces approach Ukraine's capital Kyiv	Wikinews article	0.523
Russian victory	NO_MATCH	N/A	N/A	0.000
Russians to regain control of territory	NO_MATCH	N/A	N/A	0.000
SECD machine	Q954312	SECD machine	virtual and Abstract Machine target for functional programming language compiler	1.000
Saint Ambrose	Q43689	Ambrose	Roman theologian and Bishop of Milan (c. 340–397)	1.000
Saint Piran	Q2472762	Saint Piran	Cornish abbot and saint	1.000
Saint Piran's Day	NO_MATCH	N/A	N/A	0.000
Saint Vincent and the Grenadines	Q757	Saint Vincent and the Grenadines	island sovereign state in the Caribbean Sea	1.000
Sam Wood	Q457269	Sam Wood	Director, producer, actor (1883-1949)	1.000
Samuel D. Waksal	Q7411220	Samuel D. Waksal	American immunologist and businessman	1.000
Samuel de Champlain	Q68529	Samuel de Champlain	16/17th-century French explorer of North America	1.000
Samwise Gamgee	Q219473	Samwise Gamgee	Hobbit from the Tolkien universe	1.000
San Rafael, California	Q631915	San Rafael	city and the county seat of Marin County, California, United States of America	1.000
Sancha of Castile	Q9073803	Sancha Sánchez of Castile	Peerage person ID=415678	1.000
Sanuki Province	Q929682	Sanuki Province	former province of Japan	1.000
Sap beetles	Q38573913	Sap beetles and mycotoxins in maize	scientific article published on May 1, 1995	0.545
Sapotaceae	Q158981	Sapotaceae	family of plants	1.000
Sardinia's cuisine	NO_MATCH	N/A	N/A	0.000
Sardinia's outdoor activities	NO_MATCH	N/A	N/A	0.000
Sardinia's traditional festivals	NO_MATCH	N/A	N/A	0.000
Schoolkids Oz	Q7432692	Schoolkids OZ	controversial magazine issue	1.000
Scottish and Irish mythology	NO_MATCH	N/A	N/A	0.000
Scroll Lock	Q859033	scroll lock	computer key	1.000
Second Book of Kings	Q209746	Second Book of Kings	book of the Christian Old Testament corresponding to the second half of the Book of Kings of the Hebrew Bible	1.000
Segunda División RFEF – Group 1	NO_MATCH	N/A	N/A	0.000
Semyon Dezhnev	Q4415735	Semyon Dezhnev	1983 film directed by Nikolai Gusarov	1.000
Senate	Q2570643	senate	type of legislative body, often the upper house or chamber of a bicameral legislature	1.000
September 11, 2001	Q10806	September 11 attacks	2001 attacks in the United States	1.000
September 28, 1708	Q69140134	September 28, 1708	date in Gregorian calendar	1.000
Serbia	Q403	Serbia	country in Southeast Europe	1.000
Seth Barnes Nicholson	Q436047	Seth Barnes Nicholson	American astronomer (1891–1963)	1.000
Shamanism	Q42042	shamanism	practice that involves a practitioner reaching altered states of consciousness in order to perceive and interact with what they believe to be a spirit world	1.000
Siegfried Sassoon	Q363729	Siegfried Sassoon	English war poet and writer (1886-1967)	1.000
Sigmund Freud's psychoanalytic theory	NO_MATCH	N/A	N/A	0.000
Siksika	Q18609034	Siksika	genus of fishes (fossil)	1.000
Simaroubaceae	Q156679	Simaroubaceae	family of plants	1.000
Simple carbohydrates	Q136192523	simple carbohydrates	carbohydrates that are broken down quickly by the body to be used as energy	1.000
Simplicius	Q104376927	Simplicius	male given name	1.000
Sir Francis Walsingham	Q138409	Francis Walsingham	English spy, diplomat and politician (1532-1590)	1.000
Skin color	Q853516	human skin color	skin color of an individual as a result of genetics	1.000
Soay	Q1574956	Soay	uninhabited islet in the St Kilda archipelago, Scotland	1.000
Soay wildlife	NO_MATCH	N/A	N/A	0.000
Some species of Peperomia	NO_MATCH	N/A	N/A	0.000
Some species of Vampyrellidae	NO_MATCH	N/A	N/A	0.000
Some species of sap beetles	NO_MATCH	N/A	N/A	0.000
Song of the South	Q1345920	Song of the South	1946 American live-action animated film	1.000
South America	Q18	South America	continent	1.000
South West Coast Path	Q1631281	South West Coast Path	long distance footpath in England	1.000
Southern Court	Q3001082	Southern Court	set of four emperors (Emperor Go-Daigo and his line) whose claims to sovereignty during the Nanboku-chō period spanning from 1336 through 1392 were usurped by the Northern Court	1.000
Soviet science	Q71908045	Soviet Science	journal article; published in Nature on 1973-12-01	1.000
Space exploration	Q180046	space exploration	discovery and exploration of outer space and celestial objects outside Earth	1.000
Spain	Q29	Spain	country in southwestern Europe with territories in Africa	1.000
Spain and Europe during the Middle Ages	NO_MATCH	N/A	N/A	0.000
Spencer Tracy	Q71275	Spencer Tracy	American actor (1900–1967)	1.000
Spirotrich	Q117735	Spirotrichea	class of ciliate protists (Ciliophora)	0.984
Sprague-Grundy theorem	NO_MATCH	N/A	N/A	0.000
Stalin's regime	NO_MATCH	N/A	N/A	0.000
Stanley Cup	Q211872	Stanley Cup	championship trophy awarded annually in the National Hockey League	1.000
Stephen Jay Gould and Richard Lewontin	NO_MATCH	N/A	N/A	0.000
Steve Vai	Q193397	Steve Vai	American guitarist	1.000
Students	Q48282	student	learner, or someone who attends an educational institution	1.000
Sunir Shah	Q9348157	Sunir Shah	Canadian programmer and marketer	1.000
Surface tablets	NO_MATCH	N/A	N/A	0.000
Sweden	Q34	Sweden	country in Northern Europe	1.000
Swedish	Q9027	Swedish	North Germanic language spoken in Sweden and Finland	1.000
Swedish army	Q2492012	Swedish Army	Land branch of the Swedish Armed Forces	1.000
TV shows	Q7672246	TVShowsOnDVD.com	website	0.971
Taj Mahal	Q3487323	Taj Mahal	1968 album by Taj Mahal	1.000
Taliban insurgency	Q1752743	Taliban insurgency	insurgency during the War in Afghanistan	1.000
Tanzania	Q924	Tanzania	country in East Africa	1.000
Teesside	Q1293366	Teesside	urban area in England, UK	1.000
Teichoscopy	Q1372563	Teichoscopy	narrative device in classical literature	1.000
Temple Mount	Q193163	Temple Mount	religious hilltop in the Old City of Jerusalem	1.000
Terry Gilliam	Q25078	Terry Gilliam	American born-British filmmaker, comedian, and actor (born 1940)	1.000
Terry Jones	Q166159	Terry Jones	Welsh actor, comedian, director, historian and writer (1942–2020)	1.000
Tetraclinis articulata	Q918555	Tetraclinis articulata	species of plant	1.000
The Adventures of Pinocchio	Q8065468	The Adventures of Pinocchio	1883 novel by Carlo Collodi	1.000
The Aeneid	Q87347124	The Aeneid	episode of In Our Time	1.000
The Big South Conference	NO_MATCH	N/A	N/A	0.000
The Congress	Q3520383	The Congress	2013 film directed by Ari Folman	1.000
The Dark One	Q99676523	The Dark One	episode of The Dead Files (S05 E07)	1.000
The English Patient	Q63026	The English Patient	1996 film directed by Anthony Minghella	1.000
The Fantastic Four	Q152098	The Fantastic Four	fictional superhero team	1.000
The Futurians	Q16249658	Futurians	New Zealand rock band	1.000
The Gold Rush	Q214723	The Gold Rush	1925 film directed by Charlie Chaplin	1.000
The Good Friday Agreement	NO_MATCH	N/A	N/A	0.000
The House of Representatives	Q20184686	The House of Representatives	painting by Samuel Finley Breese Morse	1.000
The Hustler	Q1130084	The Hustler	1961 film by Robert Rossen	1.000
The Hustler film	NO_MATCH	N/A	N/A	0.000
The Inklings	Q81984	Inklings	informal literary discussion group associated with the University of Oxford, England	1.000
The National Geographic Society	Q167186	National Geographic Society	American non-profit scientific and educational institution	1.000
The Pacific Ocean	Q7755858	The Pacific Ocean	American indie rock band	1.000
The Peace of Westphalia	Q29540797	The Peace of Westphalia, 1648-1948	scientific article (publication date: 1948)	0.871
The Price Is Right	Q21117088	The Price Is Right	1990 video game	1.000
The Red River	Q79340397	The Red River Cart	painting by Olaf Carl Seltzer	0.896
The Senate	Q85808402	The Senate		1.000
The Thing	Q910204	Thing	fictional character in Marvel Comics	1.000
The Thirty Years' War	Q56067146	The Thirty Years’ War	article	1.000
The Troubles	Q815436	The Troubles	1960s–1990s conflict in Northern Ireland between Irish republicans and British officials	1.000
The United States Congress	Q136211536	The United States Congress	book 2003	1.000
The Warsaw Ghetto	Q58502471	The Warsaw Ghetto in Polish literature		0.618
The Warsaw Ghetto Uprising	NO_MATCH	N/A	N/A	0.000
The Wedding Planner	Q591362	The Wedding Planner	2001 film by Adam Shankman	1.000
The Wheel of Time	Q4470	The Wheel of Time	series of fantasy novels by Robert Jordan	1.000
The White Rose	Q1995969	Emma Frost	fictional character in Marvel Comics	1.000
The conflict	Q21183767	The Conflict	1916 film by Ralph Ince	1.000
The deaths	Q134732888	The Deathstone	novel by Ken Eulo	0.900
The discovery of gold in California	NO_MATCH	N/A	N/A	0.000
The group of young people	NO_MATCH	N/A	N/A	0.000
The inhabitants of the Warsaw Ghetto	NO_MATCH	N/A	N/A	0.000
The living conditions in the Warsaw Ghetto	NO_MATCH	N/A	N/A	0.000
The objective of chess	NO_MATCH	N/A	N/A	0.000
The opponent's king	NO_MATCH	N/A	N/A	0.000
The series	Q105762311	The Series Finale	9th episode of WandaVision	0.841
The story	Q3283453	The Story	album by Brandi Carlile	1.000
The study of elementary functions	NO_MATCH	N/A	N/A	0.000
The violence	Q87278385	The Violence	2019 single by Asking Alexandria	1.000
Thebes	Q1615469	Thebes	2007 board game	1.000
Theodosian Code	Q4300	Codex Theodosianus	Compilation of laws of Roman Empire (438)	1.000
Thermonuclear fusion	Q7783221	thermonuclear fusion	nuclear fusion at very high temperatures	1.000
Thousands of people from around the world	NO_MATCH	N/A	N/A	0.000
Thyine wood	Q7799595	Thyine wood	15th-century English name for Tetraclinis articulata	1.000
Tilo Wolff	Q707711	Tilo Wolff	German musician	1.000
Tiscali archaeological site	NO_MATCH	N/A	N/A	0.000
Titulus Regius	Q1432839	Titulus Regius	a statute of the Parliament of England	1.000
Titulus Regius in 1485	NO_MATCH	N/A	N/A	0.000
Toronto, Canada	Q172	Toronto	capital and largest city of the province of Ontario, Canada	1.000
Total pressure of a gas mixture	NO_MATCH	N/A	N/A	0.000
Toxins	Q15724569	Toxins	scientific journal	1.000
Transport in Ethiopia	Q580111	transport in Ethiopia	overview of transport system in Ethiopia	1.000
Transport in Lithuania	Q1270460	transport in Lithuania		1.000
Treatment options for Arthritis	NO_MATCH	N/A	N/A	0.000
Treaty of Paris	Q3536857	Treaty of Paris	1918 treaty	1.000
Trillium chloropetalum	Q3062172	Trillium chloropetalum	species of plant	1.000
Trisha McFarland	NO_MATCH	N/A	N/A	0.000
Trofim Lysenko	Q294234	Trofim Lysenko	Soviet agronomist and biologist (1898-1976)	1.000
Trofim Lysenko's ideas	NO_MATCH	N/A	N/A	0.000
Tundra	Q43262	tundra	biome where the tree growth is hindered by low temperatures and short grow seasons	1.000
Tundra vegetation	Q58261787	Tundra vegetation effects on pan-Arctic albedo	article published in 2011	0.597
Tunisia	Q948	Tunisia	country in North Africa	1.000
Turing tarpit	Q4467269	Turing tarpit	programming language or computer interface that allows for flexibility in function but is difficult to learn and use because it offers little or no support for common tasks	1.000
Turkey	Q43	Turkey	country in West Asia and Southeast Europe	1.000
Turkish	Q256	Turkish	Oghuz Turkic language of the Turkish people	1.000
Tyne and Wear	Q23080	Tyne and Wear	county in England	1.000
Tyropoeon Valley	Q2914844	Tyropoeon Valley	former valley in Jerusalem	1.000
UNESCO World Heritage Site	Q64364418	UNESCO World Heritage Site buffer zone	buffer zone of a UNESCO world heritage site	1.000
UNESCO World Heritage site	Q64364418	UNESCO World Heritage Site buffer zone	buffer zone of a UNESCO world heritage site	1.000
Uncle Remus	Q719143	Uncle Remus	folktale of the southern United States	1.000
Unified Modeling Language	Q169411	Unified Modeling Language	software system design modeling tool	1.000
Unionists	Q6071313	Irish Unionist Alliance	political party in Ireland (1891-1922)	1.000
United Airlines Flight 93	Q638603	United Airlines Flight 93	9/11 hijacked passenger flight, attempted to hit the US Capitol or the White House	1.000
United Kingdom in 1979	NO_MATCH	N/A	N/A	0.000
United States Attorney General	Q636207	United States Attorney General	head of the United States Department of Justice	1.000
United States federal law	Q81844069	U.S. federal law	body of law of the United States federal government	1.000
United States' X-37B	NO_MATCH	N/A	N/A	0.000
Unix and OpenVMS operating systems	NO_MATCH	N/A	N/A	0.000
Upper Canada	Q795427	Upper Canada	former British colony in North America	1.000
V-2 rocket	Q174640	V-2 rocket	world's first short-range guided ballistic missile	1.000
VDSL	Q823923	VDSL	digital subscriber line technologies	1.000
VTOL aircraft	Q320599	vertical take off and landing aircraft	aircraft capable of taking off and landing without a runway	1.000
Vampyrellidae	Q917169	Vampyrellidae	family of protists	1.000
Versatackle knot	Q3347333	versatackle knot	type of knot somewhat similar to block and tackle	1.000
Vertical takeoff and landing	Q123938843	vertical takeoff and landing	aircraft takeoff and landing method that does not require a runway	1.000
Viking attacks	NO_MATCH	N/A	N/A	0.000
Village of Lesnaya	NO_MATCH	N/A	N/A	0.000
Vilnius International Airport	Q847711	Vilnius Airport	international airport of Vilnius, Lithuania	1.000
Virgil	Q17505763	Virgil	male given name	1.000
Virgil's Aeneid	Q136085397	Virgil's Æneid	version of literary work	0.958
Visigothic Kingdom	Q126936	Visigothic Kingdom	Germanic successor state to the Western Roman Empire on the Iberian Peninsula (418–720)	1.000
Vortex Spring	Q7941924	Vortex Spring	freshwater spring and cave diving site in Florida	1.000
Voyager probes	NO_MATCH	N/A	N/A	0.000
W. O. Bentley	Q561420	W. O. Bentley	British automotive engineer (1888-1971)	1.000
W. S. Gilbert	Q348513	W. S. Gilbert	English dramatist, poet and illustrator (1836–1911)	1.000
W. S. Van Dyke	Q547078	W. S. Van Dyke	American film director (1889–1943)	1.000
Walt Disney	Q7414	The Walt Disney Company	American multinational mass media company	1.000
Warner Bros	Q126399	Warner Bros.	American entertainment company	1.000
Washington County	Q507256	Washington County	county in Maine, United States	1.000
Washington, D.C.	Q61	Washington, D.C.	capital city of the United States of America	1.000
Wedge Antilles	Q52310	Wedge Antilles	character in Star Wars	1.000
West's 1928 Broadway play Diamond Lil	NO_MATCH	N/A	N/A	0.000
Weta	Q599163	Weta	genus of insects	1.000
Wilfred Jackson	Q1385379	Wilfred Jackson	American film director (1906–1988)	1.000
William Baffin	Q55807	William Baffin	British explorer	1.000
William Lipscomb	Q110935	William Lipscomb	Nobel Prize-winning American inorganic and organic chemist	1.000
William McCrea	Q694775	William McCrea	British politician (born 1948)	1.000
William Randolph Hearst	Q294931	William Randolph Hearst	American newspaper publisher (1863–1951)	1.000
Windows operating system	NO_MATCH	N/A	N/A	0.000
World Boxing Council	Q724450	World Boxing Council	Professional boxing organization	1.000
World War I	Q361	World War I	global war originating in Europe, 1914–1918	1.000
World War II	Q362	World War II	1939–1945 global conflict	1.000
Xbox gaming consoles	NO_MATCH	N/A	N/A	0.000
Xerxes I	Q129165	Xerxes I	The fifth Achaemenid emperor (486–465 BC)	1.000
Zeus	Q1960850	Zeus	genus of fishes	1.000
Zeus's head	NO_MATCH	N/A	N/A	0.000
Zeus's stomach	NO_MATCH	N/A	N/A	0.000
a "dead" language"	NO_MATCH	N/A	N/A	0.000
a 1908 Tin Pan Alley song	NO_MATCH	N/A	N/A	0.000
a 1933 American pre-Code romantic comedy film	NO_MATCH	N/A	N/A	0.000
a 1935 American comedy film	NO_MATCH	N/A	N/A	0.000
a 1935 American musical film	NO_MATCH	N/A	N/A	0.000
a 1946 American live-action/animated musical film	NO_MATCH	N/A	N/A	0.000
a 1949 American romantic comedy film	NO_MATCH	N/A	N/A	0.000
a 1975 British comedy film	NO_MATCH	N/A	N/A	0.000
a British colony in North America	NO_MATCH	N/A	N/A	0.000
a British luxury car manufacturer	NO_MATCH	N/A	N/A	0.000
a British protectorate in 1921	NO_MATCH	N/A	N/A	0.000
a British ruling class	NO_MATCH	N/A	N/A	0.000
a Broadway musical	Q4655653	A Broadway Musical	musical	1.000
a Canadian actor	NO_MATCH	N/A	N/A	0.000
a Canadian musician	NO_MATCH	N/A	N/A	0.000
a Canadian-American actress	NO_MATCH	N/A	N/A	0.000
a Chinese writer	NO_MATCH	N/A	N/A	0.000
a Christian theologian	NO_MATCH	N/A	N/A	0.000
a Cretan goddess	NO_MATCH	N/A	N/A	0.000
